epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,253.664,1.24212,2.2949,1.12826,0.25107,0.61397,0.5134,0.36364,1.14421,3.5033,1.09704,0.0676226,0.000327044,0.000327044
2,476.471,1.2947,1.48463,1.13782,0.6804,0.5685,0.62479,0.42014,1.22346,1.71906,1.14665,0.0346094,0.000647171,0.000647171
3,764.049,1.32327,1.45071,1.16351,0.79726,0.60638,0.69884,0.46561,1.19523,1.57444,1.06709,0.0015829,0.000953966,0.000953966
4,1059.64,1.21006,1.24407,1.10061,0.83682,0.70828,0.77091,0.53966,1.06121,1.05115,1.02691,0.000940006,0.000940006,0.000940006
5,1345.93,1.16131,1.0692,1.08449,0.84633,0.68521,0.76342,0.55825,0.97634,1.07422,1.0035,0.000920008,0.000920008,0.000920008
6,1647.45,1.05894,0.9967,1.02986,0.73801,0.63386,0.66198,0.49825,0.9894,1.35509,1.03255,0.00090001,0.00090001,0.00090001
7,1942.63,1.01195,0.91439,1.02126,0.86993,0.72981,0.80794,0.59912,0.94836,0.90196,0.96684,0.000880012,0.000880012,0.000880012
8,2221.85,1.0049,0.88391,0.99981,0.95361,0.73544,0.83372,0.61852,0.9337,0.83521,0.98467,0.000860014,0.000860014,0.000860014
9,2508.28,1.00308,0.84776,1.01096,0.89828,0.75138,0.83,0.59374,1.00644,0.92372,1.00752,0.000840016,0.000840016,0.000840016
10,2796.8,0.93732,0.78498,0.96869,0.94189,0.71936,0.81337,0.61794,0.91907,0.81502,0.96658,0.000820018,0.000820018,0.000820018
11,3098.49,0.94321,0.75031,0.97796,0.88304,0.8069,0.84206,0.65169,0.85123,0.72844,0.93467,0.00080002,0.00080002,0.00080002
12,3385.63,0.90911,0.73461,0.96984,0.92544,0.76271,0.84034,0.65089,0.84572,0.82548,0.96878,0.000780022,0.000780022,0.000780022
13,3659.97,0.85176,0.69351,0.95327,0.89053,0.80842,0.85632,0.65825,0.81296,0.71963,0.93322,0.000760024,0.000760024,0.000760024
14,3937.83,0.88911,0.69093,0.95086,0.92106,0.79489,0.84516,0.65949,0.81651,0.72775,0.94385,0.000740026,0.000740026,0.000740026
15,4227.22,0.81251,0.66151,0.92674,0.9651,0.81134,0.85529,0.68115,0.80839,0.63905,0.93884,0.000720028,0.000720028,0.000720028
16,4528.72,0.81598,0.63082,0.92157,0.98587,0.79991,0.86652,0.69606,0.7394,0.62755,0.9117,0.00070003,0.00070003,0.00070003
17,4838.48,0.79687,0.59868,0.91927,0.96546,0.76248,0.84747,0.67064,0.76114,0.68344,0.92765,0.000680032,0.000680032,0.000680032
18,5127.84,0.77398,0.58655,0.91258,0.97686,0.78984,0.85316,0.68635,0.74654,0.68379,0.90721,0.000660034,0.000660034,0.000660034
19,5423.95,0.73397,0.56054,0.89401,0.93103,0.77758,0.84643,0.68532,0.72987,0.72111,0.90518,0.000640036,0.000640036,0.000640036
20,5721.83,0.73805,0.58131,0.90005,0.93788,0.81158,0.86326,0.69555,0.74753,0.6299,0.92367,0.000620038,0.000620038,0.000620038
21,6000.15,0.73886,0.56725,0.89506,0.96821,0.80117,0.88344,0.69998,0.76554,0.57455,0.91734,0.00060004,0.00060004,0.00060004
22,6268.75,0.70488,0.54263,0.88603,0.94766,0.80169,0.86603,0.69727,0.74922,0.61823,0.91391,0.000580042,0.000580042,0.000580042
23,6559.48,0.72447,0.525,0.89035,0.97254,0.81,0.89083,0.73933,0.65216,0.5424,0.88506,0.000560044,0.000560044,0.000560044
24,6855.13,0.69422,0.52221,0.88218,0.96294,0.76887,0.86884,0.70331,0.727,0.61089,0.8981,0.000540046,0.000540046,0.000540046
25,7151.91,0.69593,0.50504,0.87876,0.9771,0.81182,0.87979,0.7311,0.69454,0.55777,0.89342,0.000520048,0.000520048,0.000520048
26,7441.08,0.68818,0.49493,0.88493,0.96123,0.82258,0.8873,0.72835,0.64685,0.54548,0.87817,0.00050005,0.00050005,0.00050005
27,7738.91,0.65627,0.48405,0.86775,0.97143,0.8279,0.88566,0.74103,0.63408,0.51707,0.87693,0.000480052,0.000480052,0.000480052
28,8046.55,0.63657,0.46923,0.85743,0.97014,0.81588,0.88812,0.73373,0.68944,0.53229,0.8986,0.000460054,0.000460054,0.000460054
29,8308.08,0.64691,0.46395,0.86195,0.94912,0.83079,0.88024,0.73967,0.64702,0.52257,0.87683,0.000440056,0.000440056,0.000440056
30,8568.16,0.63361,0.45794,0.86679,0.96112,0.82385,0.88758,0.74653,0.62694,0.52036,0.87599,0.000420058,0.000420058,0.000420058
31,8867.96,0.62284,0.44458,0.85923,0.94662,0.83194,0.88933,0.74057,0.62758,0.51649,0.86393,0.00040006,0.00040006,0.00040006
32,9180.15,0.60691,0.43269,0.84669,0.97827,0.82793,0.88891,0.74758,0.62367,0.49186,0.86182,0.000380062,0.000380062,0.000380062
33,9472.55,0.61501,0.43313,0.8552,0.97997,0.80739,0.89392,0.7477,0.63762,0.50703,0.88035,0.000360064,0.000360064,0.000360064
34,9766.53,0.61085,0.43734,0.85859,0.98815,0.80662,0.8921,0.75912,0.59567,0.51564,0.85582,0.000340066,0.000340066,0.000340066
35,10077.1,0.58789,0.41573,0.84794,0.9662,0.82945,0.88136,0.75631,0.6098,0.5007,0.86298,0.000320068,0.000320068,0.000320068
36,10372.7,0.57221,0.40777,0.84822,0.98069,0.82631,0.8879,0.76143,0.61618,0.48632,0.87192,0.00030007,0.00030007,0.00030007
37,10676.8,0.57779,0.39821,0.84069,0.97204,0.84099,0.89362,0.76958,0.58949,0.46566,0.85815,0.000280072,0.000280072,0.000280072
38,10969.2,0.55386,0.40184,0.84153,0.97181,0.83459,0.89312,0.76652,0.58263,0.45298,0.85188,0.000260074,0.000260074,0.000260074
39,11262.9,0.55099,0.39344,0.84064,0.97712,0.83079,0.89375,0.75795,0.61157,0.46626,0.86395,0.000240076,0.000240076,0.000240076
40,11565.3,0.54363,0.37866,0.83203,0.97842,0.84004,0.89003,0.7651,0.58426,0.45683,0.85832,0.000220078,0.000220078,0.000220078
41,11878.6,0.5333,0.36982,0.83537,0.98419,0.83367,0.88984,0.76086,0.59957,0.45424,0.86645,0.00020008,0.00020008,0.00020008
42,12185,0.53124,0.37031,0.82599,0.99653,0.83738,0.89941,0.78,0.57916,0.44496,0.86192,0.000180082,0.000180082,0.000180082
43,12466.3,0.51254,0.35672,0.82293,0.99582,0.83858,0.89469,0.77624,0.57949,0.43164,0.85914,0.000160084,0.000160084,0.000160084
44,12756.3,0.5143,0.36393,0.82616,0.9906,0.84056,0.89181,0.77834,0.57682,0.43475,0.85297,0.000140086,0.000140086,0.000140086
45,12998.3,0.50095,0.34916,0.82396,0.97935,0.84344,0.89308,0.77919,0.56116,0.43144,0.85024,0.000120088,0.000120088,0.000120088
46,13229,0.50609,0.35555,0.82327,0.98684,0.82623,0.89464,0.79016,0.54744,0.41523,0.84509,0.00010009,0.00010009,0.00010009
47,13462.6,0.48864,0.34321,0.82346,0.97172,0.8456,0.90112,0.78293,0.55165,0.42339,0.84623,8.0092e-05,8.0092e-05,8.0092e-05
48,14583,0.47274,0.33243,0.81216,0.99029,0.84,0.89732,0.78672,0.54941,0.42017,0.84753,6.0094e-05,6.0094e-05,6.0094e-05
49,14828.1,0.4881,0.33595,0.82447,0.97405,0.84218,0.89815,0.78616,0.53879,0.41642,0.84424,4.0096e-05,4.0096e-05,4.0096e-05
50,15131.3,0.47754,0.33542,0.81265,0.9709,0.84316,0.89695,0.7892,0.53795,0.4147,0.84328,2.0098e-05,2.0098e-05,2.0098e-05
